outcome,var_a,var_b,var_c,var_d,var_e,var_f,var_g,var_h
0,761,40484,30,25,1,115190.51,17,4.375
0,702,19740,0,44,1,78189.67,16,4.125
0,652,47894,30,28,1,294677.67,23,4.5
0,672,36084,0,44,2,256787.48,19,3.625
0,774,12060,0,41,2,405484.31,20,4.125
0,765,19740,0,31,2,329296.31,13,3.75
0,786,36740,0,43,2,241484.21,14,3.375
0,759,40380,0,32,1,98313.12,17,3.75
0,792,40140,0,49,2,354651.64,20,3.75
0,728,11244,0,33,2,567000,6,5
0,790,11260,0,31,1,184933.74,18,2.875
0,759,42644,0,32,2,458066.51,13,4.125
0,761,41940,0,36,2,529551.41,10,4.5
0,798,36084,0,15,2,407000,5,3.75
0,754,38060,0,39,1,254000,5,3.75
0,786,-1,0,49,1,219035.68,16,3.99
0,766,47894,0,31,2,125548.05,23,3.75
0,796,25940,0,26,2,295704.02,17,3.75
0,784,17020,12,42,2,269216.87,12,4.55
0,796,33700,12,41,2,232000,4,4.75
0,718,47664,12,28,2,220394.12,13,4.75
0,780,16974,0,18,1,156035.81,20,4.75
0,716,47894,0,39,2,232637.26,11,4.55
0,782,12060,30,47,2,366473.47,17,4.125
0,787,16740,0,32,1,268336.37,11,4.25
0,780,35840,30,43,2,401969.24,11,4.375
0,772,16540,30,37,1,171504.12,20,4.375
0,770,11244,0,22,2,151817.09,19,4.375
0,803,16740,0,33,1,271000,2,4.18
0,794,-1,0,39,2,161544.87,16,4.25
0,762,24540,0,30,1,289961.28,16,4.25
0,754,47260,30,35,2,308407.48,14,4.375
0,718,17140,0,39,1,201583.37,18,4.375
0,774,19124,0,17,2,166213.99,13,4.18
0,781,28140,25,30,2,299584.82,12,4.375
0,683,13380,0,44,1,295270.28,21,4.18
0,721,39580,0,44,1,109031.3,8,4.55
0,745,29460,30,43,1,134381.86,15,4.875
0,770,31140,0,36,2,370639.02,18,3.375
0,679,17020,30,42,2,292910.01,16,4.25
0,797,27260,0,29,1,77360.67,13,3.99
0,766,12060,0,24,2,217544.47,20,3.875
0,773,38900,12,21,2,358814.27,13,4.375
0,796,32780,0,38,2,417000,1,4
0,716,40140,0,43,2,219481.23,15,4.125
0,800,41180,0,19,2,247909.49,14,4.125
0,774,35380,30,32,2,249690.03,19,4.375
0,777,36084,0,35,2,622000,5,4.25
0,775,38060,0,42,2,326400.16,18,4.125
0,763,37100,0,31,1,405633.29,19,3.875
0,799,24660,25,39,2,299454.25,22,3.5
0,735,28140,25,36,1,215330.95,9,4.625
0,739,41740,0,33,2,120004.55,18,3
0,748,11244,0,14,2,362000,1,3.625
0,813,44700,0,32,2,295391.18,9,4.125
0,777,36084,0,22,2,388352.2,21,4.125
0,783,31084,25,43,1,277000,5,4.375
0,731,12060,0,36,2,281633.28,14,4.125
0,749,38900,30,25,1,183962.74,25,4.5
0,756,47894,0,33,1,545000,3,4.5
0,737,33340,25,40,2,277226.1,13,4.25
0,712,38060,25,37,1,265243.59,25,4.375
0,776,25940,0,40,2,226287.39,18,4.125
0,702,28140,30,41,1,204269.21,10,3.875
0,745,47664,25,23,1,386774.42,12,4
0,739,35004,0,38,2,357626.56,13,4.5
0,760,37100,0,32,2,307098.22,11,4.125
0,782,26420,0,14,1,391661.58,24,3.625
0,743,30460,0,23,1,219000,5,4.625
0,800,40380,30,41,1,84303.07,11,4.25
0,772,31084,0,38,1,412657.05,8,3.875
0,747,31084,0,45,1,356914.62,17,4.375
0,736,20260,0,45,2,98053.85,21,3
0,665,31084,12,37,1,217840.97,17,4.125
0,792,16974,0,32,2,319165.26,23,4
0,725,33220,0,45,1,155262.35,9,4.625
0,795,41940,0,18,2,159272.09,20,3.625
0,699,36084,0,42,1,313380.77,15,4.5
0,799,41940,0,22,1,134324.02,21,3.25
0,755,41940,0,31,2,421825.12,8,4.125
0,773,47894,0,31,2,535329.46,22,4.25
0,673,14500,0,36,1,431175.04,21,4.25
0,785,-1,0,13,2,33611.57,24,3.125
0,734,26420,0,50,1,92709.72,23,4.375
0,769,17820,25,30,1,138358.99,20,3.875
0,707,41620,0,37,2,236547.56,21,4
0,725,41740,0,43,1,299744.48,13,4.125
0,780,14260,30,42,2,240715.69,13,3.75
0,810,29404,0,37,1,193780.59,8,2.99
0,799,25540,0,39,2,116000,4,4.5
0,799,30460,0,27,1,127461.43,24,4
0,775,40140,0,33,2,311907.93,20,4
0,786,42034,0,29,1,270994.17,17,3.625
0,784,23420,30,34,2,250160.53,21,3.875
0,747,41884,0,23,2,388832.17,19,3.75
0,743,28140,0,28,2,92000,5,4.375
0,807,-1,0,29,2,186896.68,15,4.375
0,793,11244,0,48,2,377079.41,16,3.125
0,772,38900,0,34,1,313477.49,14,3.625
0,686,26420,0,45,1,95120.84,21,5.125
0,791,36084,25,39,2,393010.86,14,4.125
0,703,39340,0,26,1,82175.64,12,3.5
0,732,29404,30,29,2,298024.37,16,4.25
0,796,12060,30,21,1,400553.34,24,4.125
0,774,41740,0,48,2,405951.44,13,3.875
0,690,41180,0,40,2,164000,7,4.25
0,694,38900,0,40,1,167764.78,19,4.125
0,793,16974,0,30,2,351098.09,17,3.75
0,654,29404,0,36,2,216263.45,17,3
0,787,33460,12,40,2,279943.33,21,3.25
0,706,26420,0,39,2,168701.45,8,3.875
0,813,19124,0,33,2,126625.55,22,3.75
0,677,12420,0,40,1,110383.63,13,4.25
0,788,38060,0,46,2,137555.93,13,4.05
0,774,41180,0,34,1,149831.08,14,4.125
0,802,37100,0,40,1,447783.1,20,4.125
0,769,31084,0,43,1,242752.9,12,3.625
0,756,-1,0,40,2,122650.73,23,3.75
0,730,-1,0,29,1,330152.46,22,2.875
0,708,40900,12,41,1,217048.2,8,4.75
0,763,31084,0,41,1,291000,7,3.875
0,744,41620,12,48,2,225380.89,11,3.75
0,769,11244,0,50,1,407533.08,16,3.85
0,784,26420,0,30,1,351760.39,14,3.75
0,693,36540,25,40,1,108648.81,9,3.25
0,735,31084,0,39,2,299423.59,19,3.25
0,762,19740,0,43,2,210000,7,3.375
0,778,28140,0,33,1,300416.83,13,3.875
0,728,39540,30,38,2,267583.76,16,4.625
0,778,41740,0,32,1,348560.4,11,4.25
0,719,26420,25,34,1,147300.25,13,3.875
0,787,42644,0,19,2,357305.07,21,3.625
0,704,11244,0,45,2,582742.16,10,4.375
0,800,22020,30,28,1,110187.47,22,3.75
0,712,48300,0,45,1,133289.12,21,3.5
0,776,24860,25,32,2,114122.71,18,4
0,800,-1,0,21,2,90136.75,23,3.125
0,752,16974,0,24,1,259991.05,12,3.5
0,757,35614,0,43,2,350001.22,18,4.125
0,702,37100,0,47,1,401411.77,13,3.875
0,781,19124,0,23,2,274046.01,13,3.99
0,766,19124,30,45,1,342222.13,16,3.75
0,758,42644,0,39,2,460372.78,21,3.875
0,773,12060,0,23,2,324956.17,19,3.75
0,777,12420,0,34,2,402971.58,8,3.875
0,768,33460,25,29,2,196376.39,16,3.75
0,752,11244,0,28,1,411000,5,3.75
0,794,11244,30,39,2,301616.44,21,4.25
0,769,16974,0,38,2,268986.81,14,4.25
0,769,-1,0,22,2,357000,6,4.125
0,758,38060,0,40,2,186209.24,15,3.75
0,776,31084,0,37,2,170000,4,3.5
0,738,29460,0,33,2,132112.07,11,2.875
0,718,40900,0,39,1,265981.13,17,3.999
0,766,19740,30,34,2,232481.67,21,4.25
0,772,33700,0,38,1,207303.12,20,2.875
0,712,19740,30,43,1,262230.99,23,4.25
0,767,27500,0,19,2,208386.06,17,3.65
0,762,40140,0,33,1,134282.11,21,3.999
0,797,35084,0,44,1,328188.05,21,4.125
0,750,16974,0,14,2,413000,4,3.5
0,725,19124,0,20,2,159501.57,21,3.875
0,806,11244,0,26,1,46328.94,19,3.625
0,709,16740,0,32,2,193472.52,22,3.75
0,786,41884,0,49,2,456648.96,19,4.125
0,718,13140,0,41,1,219000,3,3.875
0,783,30700,12,38,1,255529.44,12,3.625
0,744,41740,0,39,1,398318.63,13,4.125
0,753,19740,30,26,2,214757.81,14,4.625
0,760,41940,0,26,1,255417.74,14,3.125
